,Title,Company,Company_Rating,Location,Salary,Date,Description
0,Profesor Online,LatinHire,4.0,"Monterrey, N. L.",,Contratación continua,Se busca estudiante o profesional con conocimientos robustos en más de 40 materias para trabajar con estudiantes norteamericanos mediante tutorías dictadas en…
1,Billing Specialist - Work-From-Home,Hireframe,,"Remoto in Monterrey, N. L.",,Postedhace 21 días,"You will be responsible for data collection and management to ensure accurate tracking and payments.
 A strong attention to detail and understanding of the…"
2,nuevo empleoBecario Data Science or Tableau,Turing Inteligencia Artificial,,Remoto,,Postedhace 5 días,"Somos una empresa Consultora de Big Data en México, desde hace 13 años proporcionamos servicios en Business Analytics mediante Knowledge Discovery in Database …"
3,nuevo empleoAuxiliar de marketing Jr.,Turing Inteligencia Artificial,,Remoto,,Postedhace 7 días,"Somos una empresa Consultora de Big Data en México, desde hace 13 años proporcionamos servicios en Business Analytics mediante Knowledge Discovery in Database …"
4,Data Analyst,CIMMYT,4.5,"Texcoco, Méx.",,Postedhace 19 días,"Run scripts to automate data input preparation, process implementation and structure output format.
 Conduct data analyses and package results tailored for both…"
5,nuevo empleoData Engineer,GRUPO LEEWAY,,"Remoto in Cuauhtémoc, CDMX",,PostedRecién publicado,"*_Sueldo a tratar (Depende experiencia)._*.
 Vivir o sin problema en trasladarse a CDMX.
 *5 años de experiencia como Data Engineer.*."
6,Data Analytics,HSBC,4.0,"Azcapotzalco, CDMX",,Postedhace 30+ días,The ideal candidate will combine expertise in data analytics and data literacy with excellent collaborative and communication skills.
7,nuevo empleoData Scientist,Strong Talent S.A. de C.V.,,"Miguel Hidalgo, CDMX",,EmployerActivo hace 3 días,"Investigar y desarrollar modelos de aprendizaje estadístico para el análisis de datos.
 Manténgase al día con las últimas tendencias tecnológicas."
8,nuevo empleoVP CRM & Customer Data Platforms,HSBC,4.0,"Cuauhtémoc, CDMX",,Postedhace 6 días,"Ability to lead teams of data analysts and data professionals.
 5+ years of experience in data marts environments creation.
 VP CRM & Customer Data Platforms."
9,nuevo empleoData Analyst,Wise Athena,,Remoto,,Postedhace 4 días,"Experience with Python for data processing.
 Efficiently investigate, analyze and resolve data issues.
 Ability to concisely communicate data issues to clients."
10,Data Entry,FORTUNE FASHIONS,,"Ensenada, B.C.",,EmployerActivo hace 15 días,"Entering customer and account data from source documents within time limits.
 Reviewing data for deficiencies or errors, correcting any incompatibilities and…"
11,Data Scientist,Go-Sharp,4.3,"Remoto in Miguel Hidalgo, CDMX",,Postedhace 30+ días,"Manipulación de datos (data wrangling, data munging, data tyding, etc).
 Manipulación de datos (data wrangling, data munging, data tyding, etc)."
12,nuevo empleoData Specialist,AT&T,3.7,"Azcapotzalco, CDMX",,Postedhace 5 días,"Develop fully automated data visualizations leveraging the company’s data warehouses.
 Creation of SQL queries to import data."
13,Customer Service (Remoto-Mexico),Remoteco,,Remoto,,EmployerActivo hace 7 días,"\*Type in data into Google Sheets and Excel.
 \*Answer incoming phone calls, call back clients, data entering.
 \*Schedule appointments into CRM system."
14,nuevo empleoIngeniero en Data Scientist,TODO EN SUBASTAS,3.3,"Remoto in Gustavo A. Madero, CDMX",,PostedRecién publicado,"Python (Pandas, Selenium, BS4, Jupyter, Ployt Charts) • Microsoft Azure Fundmentals.
 PostgreSQL y/o SQL y/o MongoDB."
15,nuevo empleoAsesor de Inversiones Cripto - Tutor Online,Coderhouse,,"Remoto in Cuauhtémoc, CDMX",,Contratación continua,"Nuestro foco está en la educación digital y tenemos alcance mundial, dictamos cursos de desarrollo, marketing digital, diseño, data y producto."
16,Científico de Datos - Tutor Online,Coderhouse,,"Remoto in Cuauhtémoc, CDMX+2 ubicaciones",,EmployerActivo hace 2 días,"Nuestro foco está en la educación digital y tenemos alcance mundial, dictamos cursos de desarrollo, marketing digital, diseño, data y producto."
17,nuevo empleoData trainee - Becario de Datos,Rocket.la,4.2,"Cuauhtémoc, CDMX",,PostedRecién publicado,"Análisis de data de ventas.
 Rocket.la es una de las fintech más importantes del país, tenemos más de dos millones de usuarios a los que hemos ayudado a elegir…"
18,Billing and Data Entry,PAM Transport,2.6,"Monterrey, N. L.",,EmployerActivo hace 15 días,"As an entry-level role, you will be responsible for transferring data from shipping documents to the system in order to generate an invoice."
19,Data Scientist,PRA Health Sciences,3.5,"Cañada Verde, B.C.",,Postedhace 30+ días,"Respond to inquiries and follow up on data validations.
 Experience in handling time-series and image data.
 Thorough understanding of inpatient clinical (lab,…"
20,Data Science Generalist,Konfio,,"Miguel Hidalgo, CDMX",,Postedhace 12 días,"Collaborate with data engineers and ML engineer to develop automated orchestration of data implemented and model pipelines.
 Strong knowledge of Python and SQL."
21,Data Scientist,TouchesBegan,4.0,"Benito Juárez, CDMX+1 ubicación",,EmployerActivo hace 4 días,"Aprovechamos Google BigQuery como nuestro almacén de datos.
 Usamos cuadernos Jupyter y código Python para crear sofisticados experimentos y canalizaciones de…"
22,nuevo empleoSenior Data Specialist,AT&T,3.7,"Azcapotzalco, CDMX",,Postedhace 3 días,"Create SQL queries to pull data that feed reports and dashboards.
 Support the company data strategy by migrating multiple database tables to our cloud…"
23,DATA INTEGRITY AND CONTROL ENGINEER,Procter & Gamble,4.1,"Naucalpan, Méx.",,Postedhace 12 días,"Intermediate English proficiency (Able to read/write engineering documents such as data sheets or vendor manuals).
 Data Integrity and Control Engineer."
24,Financial Data Analyst - Mexico City - SISW 305565,Siemens,4.0,"11560, Colonia Polanco, CDMX",,Postedhace 25 días,"Skilled at developing & presenting communications and data visualization.
 Move beyond compiling of data to service the ‘why’ behind the numbers."
25,"Gerente de TI, Gobierno y Auditorias de TI",Grid professional,,"Hybrid remote in Cuajimalpa, CDMX",,EmployerActivo hace 8 días,"Empresa aseguradora líder nivel internacional te invita a ser parte de su equipo de trabajo como *Gerente de TI, Gobierno y Auditorias de TI*."
26,Analista de Investigación de Mercados - Cuantitativo,Atlantia Search,3.2,"Remoto in Benito Juárez, CDMX",,EmployerActivo hace 5 días,"Te encanta trabajar con datos cuantitativos, herramientas de análisis, ir más allá de la data para generar insights que puedan ser clave y fácilmente…"
27,CORPORATE LAWYER,Integral Ares de Mexico S.A de C.V,,"Benito Juárez, CDMX",,EmployerActivo hace 8 días,"Knowledge of personal data protection legislation.
 4 to 6 years of total experience.
 Drafting and review of contracts with clients and suppliers."
28,nuevo empleoAnalytics Data Entry Specialist - Digital Marketing (Remoto-...,Remoteco,,Remoto,,Postedhace 6 días,"Maintains data entry requirements by following data program techniques and procedures.
 Preparing and sorting documents for data entry."
29,SEO Specialist / Data Analyst (Remoto-México),Remoteco,,Remoto,,EmployerActivo hace 14 días,"PLEASE APPLY THROUGH THIS LINK: *.
 Job Types: Full-time, Permanent.
 Salary: $19,000.00 - $20,000.00 per month."
30,nuevo empleoAnalytics Data Entry Specialist - Digital Marketing (Remoto-...,Remoteco,,Remoto,"$13,000 - $14,000 al mes",Postedhace 6 días,"Maintains data entry requirements by following data program techniques and procedures.
 Preparing and sorting documents for data entry."
31,SEO Specialist / Data Analyst (Remoto-México),Remoteco,,Remoto,"$19,000 - $20,000 al mes",EmployerActivo hace 14 días,"Job Types: Full-time, Permanent."
32,"Ejecutivo/a Comercial de TI, sin experiencia, Home Office",ATENCION AL CLIENTE Y VENTAS,3.9,"Remoto in Tlalpan, CDMX","$15,000 - $20,000 al mes",EmployerActivo hace 5 días,"Identificación de Necesidad de acuerdo con el portafolio de Servicios de la empresa.
 Identificación de Objetivos y fechas para toma de decisión de proyectos."
33,Data Science,Ingenes,3.1,"Álvaro Obregón, CDMX","$20,000 - $25,000 al mes",EmployerActivo hace 6 días,"Únete a este gran proyecto sumando con tu talento como DATA SCIENCE.
 Llevar a cabo el control de presupuestos de operación de todas las sucursales."
