,Title,Company,Company_Rating,Location,Salary,Date,Description,Yearly,Hourly,Min_Salary,Max_Salary,Avg_Salary,Remote,State,Python,R_studio,Spark,Excel,SQL
0,Analytics Data Entry Specialist - Digital Marketing (Remoto-...,Remoteco,,Remoto,"$13,000 - $14,000 al mes",2022-04-28,"Maintains data entry requirements by following data program techniques and procedures.
 Preparing and sorting documents for data entry.",0,0,13000,14000,13500.0,0,Remoto,0,1,0,0,0
1,SEO Specialist / Data Analyst (Remoto-México),Remoteco,,Remoto,"$19,000 - $20,000 al mes",2022-04-20,"Job Types: Full-time, Permanent.",0,0,19000,20000,19500.0,0,Remoto,0,1,0,0,0
2,"Ejecutivo/a Comercial de TI, sin experiencia, Home Office",ATENCION AL CLIENTE Y VENTAS,3.9,"Remoto in Tlalpan, CDMX","$15,000 - $20,000 al mes",2022-04-29,"Identificación de Necesidad de acuerdo con el portafolio de Servicios de la empresa.
 Identificación de Objetivos y fechas para toma de decisión de proyectos.",0,0,15000,20000,17500.0,0, CDMX,0,1,0,0,0
3,Data Science,Ingenes,3.1,"Álvaro Obregón, CDMX","$20,000 - $25,000 al mes",2022-04-28,"Únete a este gran proyecto sumando con tu talento como DATA SCIENCE.
 Llevar a cabo el control de presupuestos de operación de todas las sucursales.",0,0,20000,25000,22500.0,0, CDMX,0,1,0,0,0
4,Data Analyst,Glitzi,,"Cuauhtémoc, CDMX","$15,000 - $20,000 al mes",2022-04-29,"Extracción de información de base de datos en MySQL.
 Apoyo en la generación de reportes estadísticos, proyecciones y dashboards.
 Manejo de macros en Excel.",0,0,15000,20000,17500.0,0, CDMX,0,1,0,1,1
5,OFFICE MANAGER,ATENCION AL CLIENTE Y VENTAS,3.9,"Cuauhtémoc, CDMX","$25,000 - $50,000 al mes",2022-04-23,"This person must have at least three (3) years of office Management experience.
 Excel efficiency is a HUGE plus.
 Proven work experience at management level.",0,0,25000,50000,37500.0,0, CDMX,0,1,0,1,0
6,Data Analyst Junior,Mensch México,,"Remoto in Miguel Hidalgo, CDMX","$14,000 al mes",2022-04-07,"Publicidad, Mercadotecnia, Estadística, Matemáticas, Actuaria, Economía y tienes experiencia en recolección y análisis de datos, uso de bases de datos,…",0,0,14000,14000,14000.0,0, CDMX,0,1,0,0,0
7,Data Analyst,Consultoría en Sistemas,4.8,"Remoto in Guadalajara, Jal.","$40,000 - $50,000 al mes",2022-04-30,"Data Analytics con conocimientos en data warehouse.
 Experiencia de 3 años en adelante manejando BI, desarrollo en SQL y excel avanzado.",0,0,40000,50000,45000.0,0, Jal.,0,1,0,1,1
8,Consultor BI (MicroStrategy) - Remoto,Kodefree,,"Benito Juárez, CDMX","$50,000 al mes",2022-04-28,"3+ años de experiencia en análisis de datos.
 3+ años de experiencia propuesta de soluciones y saber trabajar con Dossiers.",0,0,50000,50000,50000.0,0, CDMX,0,1,0,0,0
9,Prácticas/Residencias Data Science,Cross Border Xpress,4.0,"Tijuana, B.C.",$300 al día,2022-04-28,"Cross Border Xpress ""CBX"" es el Proyecto transfronterizo más innovador y excitante que jamás se haya construido entre dos países y es un símbolo de la…",0,0,300,300,300.0,0, B.C.,0,1,0,0,0
10,Digital Marketing Analyst (Remoto - Mexico),Remoteco,,Remoto,"$20,000 - $29,000 al mes",2022-05-01,"Excellent Excel and data analysis skills, able to read, interpret and use data to inform ad strategies • Understanding of Google Analytics • Digital marketing…",0,0,20000,29000,24500.0,0,Remoto,0,1,0,1,0
11,Inside Sales Representative,TelQuest International,,Remoto,"$42,000 - $80,000 al año",2022-04-27,"Ability to document, organize and summarize data in complete detail.
 Facilitate the collection of data and information to be able to develop pricing proposals.",1,0,42000,80000,61000.0,0,Remoto,0,1,0,0,0
12,"Data Engineer Operations (remoto, inglès conversacional)",Selecciona Talento,,"Los Mochis, Sin.","$60,000 al mes",2022-04-26,"Utilize best practices for data governance, data quality, data cleansing, and other ETL-related activities.*.
 Additionally, this role will help build analytical…",0,0,60000,60000,60000.0,0, Sin.,0,1,0,0,0
13,Administrative Assistant,Lot Squared Development,,"Remoto temporalmente in Ciudad Universitaria, CDMX","$18,000 al mes",2022-05-02,"Entering data into our systems.
 We are looking for our next Administrative Assistant to join us full-time (40 hours) during our Eastern U.S. business hours from…",0,0,18000,18000,18000.0,0, CDMX,0,1,0,0,0
14,ANALISTA DE MEJORA CONTINUA Jr.,Trejo & Asociados,,"Álvaro Obregón, CDMX","$13,000 al mes",2022-05-04,"Analizar y monitorear los indicadores de Calidad de las áreas de la organización, a través de la revisión de las bases operativas y exportables de plataformas…",0,0,13000,13000,13000.0,0, CDMX,0,1,0,0,0
15,Remote - Executive Assistant,Homevault PM,,"Remoto in Guadalajara, Jal.","$24,000 - $28,000 al mes",2022-04-29,"Entering data and uploading documents to our management software.
 This role is primarily an assistant position to Property Management, and to be successful in…",0,0,24000,28000,26000.0,0, Jal.,0,1,0,0,0
16,Auxiliar de Recursos Humanos,Turing Inteligencia Artificial,,Remoto,"$5,000 - $8,000 al mes",2022-04-27,"Somos una empresa Consultora de Big Data en México, desde hace 13 años proporcionamos servicios en Business Analytics mediante Knowledge Discovery in Database …",0,0,5000,8000,6500.0,0,Remoto,0,1,0,0,0
17,Wanted Marketing Assistant (with writing skills) (Remoto-Mex...,Remoteco,,Remoto,"$9,000 - $10,000 al mes",2022-04-29,"Report data from the client’s website.
 We are looking for a smart, experienced and creative Marketing Assistant (with writing skills) to support one of our…",0,0,9000,10000,9500.0,0,Remoto,0,1,0,0,0
18,Data Engineer bilingüe para sector financiero,CONSULTORIA PEÑA GUERRERO,,"Cuauhtémoc, CDMX","$11,111 - $11,112 al mes",2022-04-30,"Gran conocimiento en la manipulación de data warehouses, data wrangling o data tyding con grandes volúmenes de información.",0,0,11111,11112,11111.5,0, CDMX,0,1,0,0,0
19,E-Commerce Associate,TelQuest International,,Remoto,"$35,000 - $40,000 al año",2022-04-27,"Must be proficient with Microsoft Excel (you will be tested on vlook-up, data manipulation -Math formulas).
 You will work with our sales, marketing, operations,…",1,0,35000,40000,37500.0,0,Remoto,0,1,0,1,0
20,Data Engineer Software,Atcon,,"Tlalpan, CDMX","$50,000 - $60,000 al mes",2022-04-27,"Un mínimo de dos años de lenguajes de programación (Python, Scala preferido) experiencia con los métodos de big data a gran escala (Spark, Hadoop stack, Cloud).",0,0,50000,60000,55000.0,0, CDMX,1,1,1,0,0
21,Consultant - Business Analyst,Genpact,,Remoto,"$25,000 al mes",2022-04-04,"The position of Business Analyst role for Cox Infrastructure teams.
 It requires the ability to successfully coordinate between the different Technology teams to…",0,0,25000,25000,25000.0,0,Remoto,0,1,0,0,0
22,Bookkeeper (Remoto - Mexico),Remoteco,,Remoto,"$15,000 - $16,000 al mes",2022-04-30,"\* Essential data entry experience for starters.
 We are looking for a Rockstart Bookkeeper with experience using QuickBooks, \*\*and an English level of C1.",0,0,15000,16000,15500.0,0,Remoto,0,1,0,0,0
23,Data warehouse,Noralogic,,"Miguel Hidalgo, CDMX","$45,000 - $55,000 al mes",2022-05-04,"Conocimiento práctico de Collibra (workflow, cataloging, Api integration).
 Programación de Python en Pyspark interface.
 4 días libres al año.",0,0,45000,55000,50000.0,0, CDMX,1,1,1,0,0
24,Auxiliar de Marketing-Remoto,Turing Inteligencia Artificial,,Remoto,"$5,000 - $8,000 al mes",2022-04-28,"Somos una empresa Consultora de Big Data en México, desde hace 13 años proporcionamos servicios en Business Analytics mediante Knowledge Discovery in Database …",0,0,5000,8000,6500.0,0,Remoto,0,1,0,0,0
25,Analista de Información/ Dominio en Data,Segmenta,4.3,"Naucalpan, Méx.","$12,000 - $16,000 al mes",2022-04-28,"\*Control de calidad de los resultados del proyecto.
 Conocimientos: Bases de datos, Word, Excel avanzado, PowerPoint (nivel avanzado).",0,0,12000,16000,14000.0,0, Méx.,0,1,0,1,0
26,Data Engineer - Home Office,Experis,3.5,"Remoto in Benito Juárez, CDMX","$50,000 - $60,000 al mes",2022-04-27,"Resolver desafíos con la ayuda de datos y tecnología.
 Experiencia en la arquitectura y el diseño de soluciones que aprovechen los productos de Google Cloud,…",0,0,50000,60000,55000.0,0, CDMX,0,1,0,0,0
27,Químico Analista,Pfizer,4.2,"Toluca, Méx.","$18,000 al mes",2022-04-30,"Disponibilidad para rolar turnos (08:00 a 17:00 y 15:00 a 23:00 h) y fines de semana.
 Interesados aplicar directamente por este medio adjuntando CV en formato…",0,0,18000,18000,18000.0,0, Méx.,0,1,0,0,0
28,Datapower,GRUPO LEEWAY,,"Remoto in Cuauhtémoc, CDMX","$45,000 al mes",2022-05-04,Vivir o sin problema en trasladarse a CDMX.,0,0,45000,45000,45000.0,0, CDMX,0,1,0,0,0
29,TRAINEE DE CUENTAS (MARKETING DIGITAL),KEDMA COSMETICS,,"Miguel Hidalgo, CDMX","$7,000 al mes",2022-04-14,"Apoyo en la operación de las diferentes plataformas, campañas y herramientas (supermetrics, data studio).
 Licenciatura concluida: Mercadotecnia, Administración,…",0,0,7000,7000,7000.0,0, CDMX,0,1,0,0,0
30,Desarrollador DataPower,GRUPO LEEWAY,,"Remoto in Azcapotzalco, CDMX","$40,000 - $45,000 al mes",2022-05-04,Vivir o sin problema en trasladarse a CDMX.,0,0,40000,45000,42500.0,0, CDMX,0,1,0,0,0
31,Data Engineer,TekProvider,,"Aguascalientes, Ags.+1 ubicación","$35,000 - $40,000 al mes",2022-04-20,"Conocimiento de bases de datos Big Data, SQL, Azure, Hive, Hadoop, Sqoop, Presto, Map/Reduce, PostgreSQL.
 Experiencia en escribir consultas en grandes conjuntos…",0,0,35000,40000,37500.0,0, Ags.+1 ubicación,0,1,0,0,1
32,Gerente de Ciencia en Datos,CPA VISION,2.0,"Miguel Hidalgo, CDMX+1 ubicación","$55,000 - $62,000 al mes",2022-04-29,"CPA Visión* es una empresa de tecnología especializada en la que resolvemos y facilitamos problemas o procesos contables, fiscales y administrativos…",0,0,55000,62000,58500.0,0, CDMX+1 ubicación,0,1,0,0,0
33,Data Analyst,Capital Empresarial Horizonte,,"Guadalajara, Jal.","$30,000 - $50,000 al mes",2022-05-01,"Escolaridad: * Ingeniería en Sistemas, Informática o afín.
 Experiencia en la creación de documentación de TI con flujos de datos de los requisitos o procesos…",0,0,30000,50000,40000.0,0, Jal.,0,1,0,0,0
34,Bookkeeper (Remote),Gordian Staffing,,"Remoto temporalmente in Guadalajara, Jal.","$15,000 - $20,000 al mes",2022-04-29,"Facilitate invoicing: data entry, transmitting invoices, and follow up until payment is received.
 The Bookkeeper is a skilled position responsible for the…",0,0,15000,20000,17500.0,0, Jal.,0,1,0,0,0
35,Analista de facturacion,Neolpharma,3.6,"Azcapotzalco, CDMX","$12,979 al mes",2022-04-08,"Disponibilidad para rolar turnos (mañana, tarde y noche).
 Excel medio/avanzado (Tablas dinámicas, formulas avanzadas, base de datos y filtros de Data).",0,0,12979,12979,12979.0,0, CDMX,0,1,0,1,0
36,Data Center Operator,SGF Global,3.9,Ciudad de México,"$30,000 al mes",2022-04-04,The working days preferences for this role are Tuesday to Saturday and could involve night working hours (no later than 11pm local time) Our client operates…,0,0,30000,30000,30000.0,0,Ciudad de México,0,1,0,0,0
37,Desarrollador Python,SPEEDFC S DE RL DE CV,,"Querétaro, Qro.","$40,000 - $70,000 al mes",2022-05-01,"Command line programs for maintenance and data import/export operations.
 To be successful in this role, you should work well in a team and have experience with…",0,0,40000,70000,55000.0,0, Qro.,0,1,0,0,0
38,Gerente de Marketing,Morton Subastas SA de CV. Ciudad de México,,"11000, Colonia Lomas de Chapultepec, CDMX","$60,000 al mes",2022-04-30,"Dirigir al área de Diseño y administrar sus cargas de trabajo con base en actividades programadas.
 Analisis estadistico y de datos duros (Data Analytics) para…",0,0,60000,60000,60000.0,0, Colonia Lomas de Chapultepec,0,1,0,0,0
39,Writer,JANA Engineering Services de Mexico.,,"Querétaro, Qro.","$16,000 al mes",2022-04-30,"Fact-check any data collected during the research process.
 Their duties include researching their subject, proofreading their drafts and updating a writing…",0,0,16000,16000,16000.0,0, Qro.,0,1,0,0,0
