Title,Company,Company_Rating,Location,Salary,Date,Description
nuevo empleoBecario Data Science or Tableau,Turing Inteligencia Artificial,,Remoto,"$3,000 - $4,500 al mes",Postedhace 7 días,"Somos una empresa Consultora de Big Data en México, desde hace 13 años proporcionamos servicios en Business Analytics mediante Knowledge Discovery in Database …"
nuevo empleoData Engineering and Data Modelling,HSBC,4.0,"Cuauhtémoc, CDMX",,Postedhace 1 día,"Create data warehouses and big data systems which maintain enterprise data and allow queries to be run against it.
 Data Engineering and Data Modelling."
nuevo empleoData Specialist,AT&T,3.7,"Azcapotzalco, CDMX",,Postedhace 8 días,"Develop fully automated data visualizations leveraging the company’s data warehouses.
 Creation of SQL queries to import data.
 Ready to join the #LifeAtATT?"
Auxiliar de Recursos Humanos,Turing Inteligencia Artificial,,Remoto,"$5,000 - $8,000 al mes",Postedhace 9 días,"Somos una empresa Consultora de Big Data en México, desde hace 13 años proporcionamos servicios en Business Analytics mediante Knowledge Discovery in Database …"
"Gerente de TI, Gobierno y Auditorias de TI",Grid professional,,"Hybrid remote in Cuajimalpa, CDMX","$50,000 - $60,000 al mes",EmployerActivo hace 3 días,"Empresa aseguradora líder nivel internacional te invita a ser parte de su equipo de trabajo como *Gerente de TI, Gobierno y Auditorias de TI*."
nuevo empleoData Analytics Engineer,International Flavors & Fragrances,3.8,"Colonia Polanco, CDMX",,PostedRecién publicado,"Coordinate a multi-functional team including data engineers, data scientists, designers as well as inputs of multiple end-user stakeholders."
nuevo empleoData Analyst,Wise Athena,,Remoto,"$20,000 - $28,000 al mes",EmployerActivo hace 3 días,"Experience with Python for data processing.
 Efficiently investigate, analyze and resolve data issues.
 Ability to concisely communicate data issues to clients."
nuevo empleoML Business Analyst,Tech Mahindra,3.7,"Monterrey, N. L.",,Postedhace 5 días,If you are the owner of personal data in possession of the Company and wish to obtain further information regarding the processing of your personal data or the…
nuevo empleoLid Proy de Productos,HSBC,4.0,"Cuauhtémoc, CDMX",,PostedRecién publicado,"Create data warehouses and big data systems which maintain enterprise data and allow queries to be run against it.
 Perform matching and linking across datasets."
Financial Data Analyst - Mexico City - SISW 305565,Siemens,4.0,"11560, Colonia Polanco, CDMX",,Postedhace 28 días,"Skilled at developing & presenting communications and data visualization.
 Move beyond compiling of data to service the ‘why’ behind the numbers."
nuevo empleoOperations Associate,HSBC,4.0,"Azcapotzalco, CDMX",,Postedhace 2 días,"Personal data held by the Bank relating to employment applications will be used in accordance with our Privacy Statement, which is available on our website."
Auxiliar de marketing Jr.,Turing Inteligencia Artificial,,Remoto,"$5,000 - $8,000 al mes",Postedhace 9 días,"Somos una empresa Consultora de Big Data en México, desde hace 13 años proporcionamos servicios en Business Analytics mediante Knowledge Discovery in Database …"
nuevo empleoData Analyst,Consultoría en Sistemas,4.8,"Remoto in Guadalajara, Jal.","$40,000 - $50,000 al mes",EmployerActivo hace 2 días,"Data Analytics con conocimientos en data warehouse.
 Experiencia generando reportes y data analytics, puede ser cualquier herramienta de powercenter, click view."
nuevo empleoConsultor/a Proyectos Training Paths Engineering & Data(Ciud...,BBVA,4.2,"Cuauhtémoc, CDMX",,PostedHoy,"Buscamos una persona con con perfil de: a) formación o experiencia amplia en desarrollo de software.
 B) capaz de convertir los conocimientos de una tecnología…"
Analista de Mejora Continua Jr,Servicios Broxel S A P I de CV,2.0,"Álvaro Obregón, CDMX",,Postedhace 14 días,"Analizar, Concentrar, ordenar, filtrar y analizar data y presentarlos en formato reporte para la generación de Dashboards e Informes."
nuevo empleoConsultor/a Proyectos Training Paths Engineering & Data(Ciud...,BBVA,4.2,"Cuauhtémoc, CDMX",,PostedHoy,B) capaz de convertir los conocimientos de una tecnología del banco o lenguajes en un curso formativo para desarrolladores.
Analista de Mejora Continua Jr,Servicios Broxel S A P I de CV,2.0,"Álvaro Obregón, CDMX",,Postedhace 14 días,"Analizar y monitorear los indicadores de Calidad de las áreas de las organización, a través de la revisión de las bases operativas y exportables de…"
