Title,Company,Company_Rating,Location,Salary,Date,Description,Yearly,Hourly,Min_Salary,Max_Salary,Avg_Salary,Remote,State,Posted_Date,Python,R_studio,Spark,Excel,SQL,Hadoop
Becario Data Science or Tableau,Turing Inteligencia Artificial,,Remoto,"$3,000 - $4,500 al mes",Postedhace 7 días,"Somos una empresa Consultora de Big Data en México, desde hace 13 años proporcionamos servicios en Business Analytics mediante Knowledge Discovery in Database …",0,0,3000,4500,3750.0,1,Remoto,2022-04-27,0,0,0,0,0,0
Auxiliar de Recursos Humanos,Turing Inteligencia Artificial,,Remoto,"$5,000 - $8,000 al mes",Postedhace 9 días,"Somos una empresa Consultora de Big Data en México, desde hace 13 años proporcionamos servicios en Business Analytics mediante Knowledge Discovery in Database …",0,0,5000,8000,6500.0,1,Remoto,2022-04-25,0,0,0,0,0,0
"Gerente de TI, Gobierno y Auditorias de TI",Grid professional,,"Hybrid remote in Cuajimalpa, CDMX","$50,000 - $60,000 al mes",EmployerActivo hace 3 días,"Empresa aseguradora líder nivel internacional te invita a ser parte de su equipo de trabajo como *Gerente de TI, Gobierno y Auditorias de TI*.",0,0,50000,60000,55000.0,0, CDMX,2022-05-01,0,0,0,0,0,0
Data Analyst,Wise Athena,,Remoto,"$20,000 - $28,000 al mes",EmployerActivo hace 3 días,"Experience with Python for data processing.
 Efficiently investigate, analyze and resolve data issues.
 Ability to concisely communicate data issues to clients.",0,0,20000,28000,24000.0,1,Remoto,2022-05-01,1,0,0,0,0,0
Auxiliar de marketing Jr.,Turing Inteligencia Artificial,,Remoto,"$5,000 - $8,000 al mes",Postedhace 9 días,"Somos una empresa Consultora de Big Data en México, desde hace 13 años proporcionamos servicios en Business Analytics mediante Knowledge Discovery in Database …",0,0,5000,8000,6500.0,1,Remoto,2022-04-25,0,0,0,0,0,0
Data Analyst,Consultoría en Sistemas,4.8,"Remoto in Guadalajara, Jal.","$40,000 - $50,000 al mes",EmployerActivo hace 2 días,"Data Analytics con conocimientos en data warehouse.
 Experiencia generando reportes y data analytics, puede ser cualquier herramienta de powercenter, click view.",0,0,40000,50000,45000.0,1, Jal.,2022-05-02,0,0,0,0,0,0
SEO Specialist / Data Analyst (Remoto-México),Remoteco,,Remoto,"$19,000 - $20,000 al mes",EmployerActivo hace 16 días,"Job Types: Full-time, Permanent.",0,0,19000,20000,19500.0,1,Remoto,2022-04-18,0,0,0,0,0,0
Nutriólogo: Educador en Diabetes,IQVIA,3.8,"Benito Juárez, CDMX","$17,000 al mes",EmployerHace más de 30 días,"Licenciatura en Nutrición (titulo y cedula).
 Experiencia en plataformas virtuales (Teams, Zoom, Gotowebinar).
 Experiencia en manejo de CRM (deseable).",0,0,17000,17000,17000.0,0, CDMX,2022-04-04,0,0,0,0,0,0
OFFICE MANAGER,ATENCION AL CLIENTE Y VENTAS,3.9,"Cuauhtémoc, CDMX","$25,000 - $50,000 al mes",Postedhace 13 días,"This person must have at least three (3) years of office Management experience.
 Excel efficiency is a HUGE plus.
 Proven work experience at management level.",0,0,25000,50000,37500.0,0, CDMX,2022-04-21,0,0,0,1,0,0
Data Entry,FORTUNE FASHIONS,,"Ensenada, B.C.","$2,999 - $3,000 por semana",EmployerActivo hace 17 días,"Entering customer and account data from source documents within time limits.
 Reviewing data for deficiencies or errors, correcting any incompatibilities and…",0,0,2999,3000,2999.5,0, B.C.,2022-04-17,0,0,0,0,0,0
